run,xign,yign,fuel,slp,asp,ws,wd,m1,m10,m100,cc,ch,cbh,cbd,lhc,lwc,firearea
226,-1777.8,1576.8,6,12,207,12.7,247.0,34.0,20.5,4.8,21,3,1,34,48.2,57.5,0.2
227,1387.4,956.8,2,28,136,9.8,157.1,13.5,23.1,16.8,64,2,1,29,75.0,98.1,476.4
228,-1269.1,596.8,35,33,41,12.0,292.2,18.8,13.7,26.7,90,0,0,20,64.1,54.2,0.0
229,-908.2,-1120.4,6,16,97,27.8,182.7,27.4,8.2,28.0,44,5,1,11,70.0,70.3,0.2
230,672.8,1051.3,22,41,319,21.5,333.6,26.3,4.4,10.6,6,5,1,6,82.9,41.3,0.0
231,-1250.8,189.2,26,9,275,22.6,344.6,9.4,2.8,6.4,70,4,1,40,80.4,67.0,0.0
232,-846.3,713.0,11,43,172,19.1,159.8,14.0,38.5,24.0,58,1,0,19,50.7,32.1,0.2
233,-960.4,128.1,23,28,156,20.9,67.0,21.0,11.3,6.3,5,2,0,7,54.1,44.8,0.0
234,1359.3,-1040.5,9,29,99,28.6,176.6,6.5,37.4,29.4,46,4,1,32,66.1,99.5,2699.2
235,-1229.5,-408.7,19,45,65,14.3,1.2,18.8,19.5,11.0,26,2,1,1,30.2,47.5,0.0
